"Assessment","FleetName"
"Red Snapper_SEDAR52","LL_W"
"Red Snapper_SEDAR52","MRIP_E"
"Red Snapper_SEDAR52","MRIP_W"
"Red Snapper_SEDAR52","HBT_E"
"Red Snapper_SEDAR52","HBT_W"
"Red Snapper_SEDAR52","C_Clsd_E"
"Red Snapper_SEDAR52","C_Clsd_W"
"Red Snapper_SEDAR52","R_Clsd_E"
"Red Snapper_SEDAR52","R_Clsd_W"
"Red Snapper_SEDAR52","Shr_E"
"Red Snapper_SEDAR52","Shr_W"
"Red Snapper_SEDAR52","Video_E"
"Red Snapper_SEDAR52","Video_W"
"Red Snapper_SEDAR52","Larv_E"
"Red Snapper_SEDAR52","Larv_W"
"Red Snapper_SEDAR52","Sum_E"
"Red Snapper_SEDAR52","Sum_W"
"Red Snapper_SEDAR52","Fall_E"
"Red Snapper_SEDAR52","Fall_W"
"Red Snapper_SEDAR52","BLL_W"
"Red Snapper_SEDAR52","BLL_E"
"Red Snapper_SEDAR52","ROV_E"
"Red Snapper_SEDAR52","MRIP_Index_E"
"Red Snapper_SEDAR52","MRIP_Index_W"
"Red Snapper_SEDAR52","HBT_Index_E"
"Red Snapper_SEDAR52","HBT_Index_W"
"Scamp Grouper_SEDAR68OA","ComVL"
"Scamp Grouper_SEDAR68OA","ComLL"
"Scamp Grouper_SEDAR68OA","Charter_Private"
"Scamp Grouper_SEDAR68OA","Headboat"
"Scamp Grouper_SEDAR68OA","Combined_Video"
"Scamp Grouper_SEDAR68OA","RFOP_Index"
"Spanish Mackerel_SEDAR28","Com_GN_1"
"Spanish Mackerel_SEDAR28","Com_RR_2"
"Spanish Mackerel_SEDAR28","REC_3"
"Spanish Mackerel_SEDAR28","Shrimp_Bycatch_4"
"Spanish Mackerel_SEDAR28","MRFSS_5"
"Spanish Mackerel_SEDAR28","Headboat_6"
"Spanish Mackerel_SEDAR28","Gillnet_7"
"Spanish Mackerel_SEDAR28","COM_FWC_VERT_LINE_8"
"Spanish Mackerel_SEDAR28","SEAMAP_Survey_9"
"Vermilion Snapper_SEDAR45","CM_E"
"Vermilion Snapper_SEDAR45","CM_W"
"Vermilion Snapper_SEDAR45","REC"
"Vermilion Snapper_SEDAR45","SMP_BYC"
"Vermilion Snapper_SEDAR45","HB_E"
"Vermilion Snapper_SEDAR45","HB_W"
"Vermilion Snapper_SEDAR45","CM_E_IFQ"
"Vermilion Snapper_SEDAR45","CM_W_IFQ"
"Vermilion Snapper_SEDAR45","LARVAL"
"Vermilion Snapper_SEDAR45","VIDEO"
"Vermilion Snapper_SEDAR45","SEAMAP"
"Vermilion Snapper_SEDAR67","HL_E"
"Vermilion Snapper_SEDAR67","HL_W"
"Vermilion Snapper_SEDAR67","LL_E"
"Vermilion Snapper_SEDAR67","LL_W"
"Vermilion Snapper_SEDAR67","MRIP_E"
"Vermilion Snapper_SEDAR67","MRIP_W"
"Vermilion Snapper_SEDAR67","HBT_E"
"Vermilion Snapper_SEDAR67","HBT_W"
"Vermilion Snapper_SEDAR67","C_Clsd_E"
"Vermilion Snapper_SEDAR67","C_Clsd_W"
"Vermilion Snapper_SEDAR67","R_Clsd_E"
"Vermilion Snapper_SEDAR67","R_Clsd_W"
"Vermilion Snapper_SEDAR67","Shr_E"
"Vermilion Snapper_SEDAR67","Shr_W"
"Vermilion Snapper_SEDAR67","Video_E"
"Vermilion Snapper_SEDAR67","Video_W"
"Vermilion Snapper_SEDAR67","Larv_E"
"Vermilion Snapper_SEDAR67","Larv_W"
"Vermilion Snapper_SEDAR67","Sum_E"
"Vermilion Snapper_SEDAR67","Sum_W"
"Vermilion Snapper_SEDAR67","Fall_E"
"Vermilion Snapper_SEDAR67","Fall_W"
"Vermilion Snapper_SEDAR67","BLL_W"
"Vermilion Snapper_SEDAR67","BLL_E"
"Vermilion Snapper_SEDAR67","ROV_E"
"Vermilion Snapper_SEDAR67","MRIP_Index_E"
"Vermilion Snapper_SEDAR67","MRIP_Index_W"
"Vermilion Snapper_SEDAR67","HBT_Index_E"
"Vermilion Snapper_SEDAR67","HBT_Index_W"
"Yellowedge Grouper_SEDAR22","COMMHL_E"
"Yellowedge Grouper_SEDAR22","COMMHL_W"
"Yellowedge Grouper_SEDAR22","COMMLL_E"
"Yellowedge Grouper_SEDAR22","COMMLL_W"
"Yellowedge Grouper_SEDAR22","NMFSBLL_E"
"Yellowedge Grouper_SEDAR22","NMFSBLL_W"
"Yellowedge Grouper_SEDAR22","NMFSTRW_E"
"Yellowedge Grouper_SEDAR22","NMFSTRW_W"
